,source,target,fraction,source_description,target_description
0,YQTQ,AA,0.6061776061776062,Ask a yes/no question. | Ask a limited-alternative yes/no question.,Answer in the affirmative to yes/no question.
1,YQTQ,YYOO,0.3938223938223938,Ask a yes/no question. | Ask a limited-alternative yes/no question.,Make a word-like utterance without clear function. | Unintelligible vocalization.
2,RPCS,ADALGI,0.11570247933884298,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.
3,RPCS,RD,0.1859504132231405,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Refuse to carry out an act requested or proposed by other.
4,RPCS,RPCS,0.15082644628099173,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.
5,RPCS,STAPDWTXCT,0.128099173553719,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
6,RPCS,YYOO,0.4194214876033058,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Make a word-like utterance without clear function. | Unintelligible vocalization.
7,RQ,ADALGI,0.4928571428571429,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.
8,RQ,RD,0.2571428571428571,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.
9,RQ,YYOO,0.25,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function. | Unintelligible vocalization.
10,EAEIECEX,PRCN,1.0,Elicit onomatopoeic or animal sounds. | Elicit imitation of word or sentence by modelling or by explicit command | Elicit completion of word or sentence. | Elicit completion of rote-learned text.,Perform verbal move in game. | Count.
11,STAPDWTXCT,RPCS,0.08503937007874016,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.
12,STAPDWTXCT,RT,0.1952755905511811,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.
13,STAPDWTXCT,STAPDWTXCT,0.3291338582677165,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
14,STAPDWTXCT,YYOO,0.3905511811023622,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function. | Unintelligible vocalization.
15,QN,SA,0.7086280056577087,Ask a product-question (wh-question),Answer a wh-question with a statement.
16,QN,YYOO,0.2913719943422914,Ask a product-question (wh-question),Make a word-like utterance without clear function. | Unintelligible vocalization.
17,MKTOXA,STAPDWTXCT,0.3380281690140845,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
18,MKTOXA,YYOO,0.6619718309859155,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.,Make a word-like utterance without clear function. | Unintelligible vocalization.
19,PRCN,YYOO,1.0,Perform verbal move in game. | Count.,Make a word-like utterance without clear function. | Unintelligible vocalization.
